DISTRICTCODE,CHILDREN,FEMALE,ELDERLY,FHEAD,FAMILYSIZE,NOELECTRIC,LOWEDU,GROWTH,POVERTY,ILLITERATE,NOTRAINING,DPRONE,RENTED,NOSEWER,TAPWATER,POPULATION,PROVINCE,Sustainability_Index
9106,0.1255395764,0.4788083469,0.020576591890000002,0.07730371674,4.916538377,0.1323949857,0.28716375,0.02253113492,0.1966,0.09087421351,1.0,0.9926325049,0.10644380910000001,0.4223663954,0.1482296019,45019,Papua Barat,0.6874812287135
6106,0.1013961949,0.4822019153,0.03402476485,0.0757381677,4.018642865,0.06644529115,0.41597694259999995,0.02001568315,0.11019999999999999,0.08377578455,0.989899402,0.8997201531000001,0.03758760515,0.23620550389999997,0.04519976829,495087,Kalimantan Barat,0.6877279863554999
5318,0.10017629,0.5145913371999999,0.06386475534,0.1260616575,5.145794933,0.13307311430000002,0.3949133594,0.010696726,0.1348,0.07341784008,0.9780620911,0.9156456684,0.01601069789,0.1821171708,0.1260255159,142804,Nusa Tenggara Timur,0.6879008003980001
8101,0.10152589000000001,0.49817663770000004,0.04169989338,0.11496795159999999,5.037780988,0.1596551413,0.23615273380000001,0.00246914692,0.2747,0.06302604811,0.9895729891,0.9718786675,0.06409677711,0.2104811772,0.2380608468,111825,Maluku,0.6883943238135
1802,0.09270425289,0.4788261312,0.04135134027,0.1048554807,3.850610719,0.02868669053,0.43113193629999996,0.01070883457,0.1325,0.06572468382,0.9967818785,0.9768018848,0.01589317679,0.24139859959999999,0.04211198273,586624,Lampung,0.688406565422
8206,0.103902215,0.4787971812,0.025331346560000002,0.06273363366,4.277628678,0.03076775616,0.3051092678,0.02562436153,0.1525,0.08874385807,0.9965014857,0.9235598581000001,0.03512891786,0.2706316496,0.0,90070,Maluku Utara,0.6890184798875
1611,0.08048298825,0.49011565609999996,0.041672311930000004,0.1271977845,3.921668706,0.03902878856,0.40401628530000006,0.01204801942,0.1244,0.056437641760000004,0.9982932955,0.9623397952,0.05480775423,0.442728795,0.01735686224,244312,Sumatera Selatan,0.689277525677
1109,0.1033616136,0.5158659067,0.05429495688,0.2591575259,3.932434159,0.01957438265,0.2604742821,0.01557670482,0.2143,0.08117851976000001,0.9742475953999999,0.46908251360000003,0.03344527386,0.43466992750000005,0.044980014969999996,432599,Aceh,0.689543206185
3206,0.08472547549,0.504469936,0.07119654546,0.1527432267,3.433797372,0.00402157689,0.5168144035000001,0.0037170127800000004,0.1084,0.034625853320000004,0.9943343946000001,0.9756719180000001,0.01121715139,0.2799332163,0.0304558246,1747318,Jawa Barat,0.690050811019
1805,0.09063841997000001,0.49029569539999995,0.05198970237,0.10486814259999999,3.598629941,0.00382415194,0.3986143805,0.00901362239,0.129,0.06579577595,0.9902408329,0.9850838053,0.03321320291,0.03712316229,0.0,1261498,Lampung,0.6908736461445001
3528,0.07350520482,0.5137627681,0.05620692419,0.23520973779999998,3.945156072,0.0,0.35909746140000004,0.01038109542,0.16,0.1513476712,0.9955637234,0.9805821238,0.007708488959999999,0.11565941490000001,0.08081997791,863004,Jawa Timur,0.691597225692
3512,0.0663881749,0.5123020259,0.07198168643,0.1747103081,3.024625493,0.0,0.467394971,0.0056943205500000005,0.1305,0.1609255705,0.9747300013,0.8982844508,0.014787827790000001,0.46885112360000003,0.12598298330000002,676703,Jawa Timur,0.6917985154349999
1403,0.09517413985999999,0.48672631510000003,0.03096128312,0.1031210572,3.84917563,0.14723713189999998,0.4091940201,0.01172991036,0.077,0.056521318679999995,0.9966961059,0.9903930458000001,0.06253875928000001,0.2154053418,0.07285139960999999,722234,Riau,0.692165552725
3305,0.07956740638,0.5021135197000001,0.0944749614,0.1526388017,3.66509434,0.00225233541,0.37399318870000003,0.0027417792000000002,0.196,0.07066259868000001,0.9886275523000001,0.9859598272,0.014058634569999999,0.09192113133999999,0.09061957686,1192007,Jawa Tengah,0.692175080183
